,I03,I12
978,0.385,0.235
979,0.38,0.235
980,0.38,0.22
981,0.375,0.235
982,0.38,0.235
983,0.375,0.235
984,0.38,0.235
985,0.38,0.255
986,0.38,0.235
987,0.385,0.235
988,0.385,0.23
989,0.375,0.23
990,0.38,0.24
991,0.37,0.24
992,0.38,0.23
993,0.38,0.255
994,0.38,0.235
995,0.38,0.235
996,0.39,0.235
997,0.38,0.235
998,0.38,0.235
999,0.375,0.235
1000,0.38,0.235
1001,0.38,0.235
1002,0.375,0.23
1003,0.375,0.23
1004,0.375,0.24
1005,0.375,0.23
1006,0.385,0.235
1007,0.38,0.235
1008,0.38,0.235
1009,0.385,0.235
1010,0.375,0.24
1011,0.38,0.25
1012,0.385,0.235
1013,0.375,0.245
1014,0.385,0.24
1015,0.38,0.24
1016,0.38,0.25
1017,0.375,0.23
1018,0.38,0.245
1019,0.375,0.23
1020,0.385,0.23
1021,0.375,0.235
1022,0.375,0.235
1023,0.375,0.235
1024,0.38,0.235
1025,0.375,0.235
1026,0.385,0.255
1027,0.38,0.23
1028,0.38,0.235
1029,0.375,0.24
1030,0.375,0.27
1031,0.38,0.23
1032,0.38,0.24
1033,0.38,0.235
1034,0.375,0.235
1035,0.38,0.235
1036,0.385,0.23
1037,0.375,0.235
1038,0.38,0.235
1039,0.375,0.235
1040,0.375,0.225
1041,0.385,0.235
1042,0.375,0.23
1043,0.38,0.235
1044,0.385,0.255
1045,0.38,0.27
1046,0.38,0.24
1047,0.38,0.24
1048,0.38,0.26
1049,0.385,0.235
1050,0.38,0.235
1051,0.38,0.24
1052,0.395,0.23
1053,0.375,0.24
1054,0.38,0.23
1055,0.375,0.235
1056,0.385,0.24
1057,0.39,0.23
1058,0.38,0.24
1059,0.38,0.235
1060,0.375,0.26
1061,0.38,0.23
1062,0.375,0.24
1063,0.38,0.235
1064,0.38,0.23
1065,0.38,0.23
1066,0.385,0.24
1067,0.375,0.235
1068,0.38,0.235
1069,0.375,0.23
1070,0.38,0.24
1071,0.38,0.24
1072,0.38,0.235
1073,0.375,0.235
1074,0.38,0.235
1075,0.38,0.245
1076,0.375,0.24
1077,0.375,0.23
1078,0.38,0.235
1079,0.38,0.235
1080,0.38,0.23
1081,0.375,0.235
1082,0.39,0.23
1083,0.38,0.24
1084,0.38,0.23
1085,0.38,0.235
1086,0.385,0.23
1087,0.385,0.225
1088,0.38,0.235
1089,0.38,0.235
1090,0.385,0.24
1091,0.375,0.24
1092,0.375,0.235
1093,0.385,0.235
1094,0.38,0.23
1095,0.375,0.225
1096,0.38,0.235
1097,0.38,0.24
1098,0.375,0.23
1099,0.38,0.23
1100,0.38,0.235
1101,0.395,0.24
1102,0.39,0.24
1103,0.385,0.235
1104,0.38,0.235
1105,0.4,0.24
1106,0.38,0.235
1107,0.38,0.235
1108,0.38,0.24
1109,0.38,0.23
1110,0.385,0.235
1111,0.385,0.225
1112,0.38,0.235
1113,0.38,0.23
1114,0.38,0.235
1115,0.385,0.24
1116,0.375,0.26
1117,0.38,0.235
1118,0.38,0.235
1119,0.38,0.235
1120,0.38,0.235
1121,0.375,0.23
1122,0.38,0.235
1123,0.38,0.235
1124,0.38,0.235
1125,0.385,0.23
1126,0.38,0.23
1127,0.385,0.255
1128,0.38,0.23
1129,0.375,0.24
1130,0.375,0.255
1131,0.38,0.235
1132,0.38,0.245
1133,0.38,0.23
1134,0.385,0.23
1135,0.38,0.235
1136,0.385,0.24
1137,0.385,0.23
1138,0.38,0.245
1139,0.385,0.235
1140,0.38,0.24
1141,0.385,0.235
1142,0.375,0.235
1143,0.38,0.235
1144,0.38,0.225
1145,0.385,0.235
1146,0.38,0.24
1147,0.375,0.23
1148,0.38,0.235
1149,0.385,0.245
1150,0.38,0.27
1151,0.375,0.235
1152,0.38,0.225
1153,0.385,0.235
1154,0.375,0.24
1155,0.375,0.245
1156,0.38,0.23
1157,0.38,0.235
1158,0.38,0.23
1159,0.385,0.23
1160,0.375,0.235
1161,0.38,0.235
1162,0.375,0.235
1163,0.395,0.235
1164,0.385,0.235
1165,0.375,0.235
1166,0.375,0.235
1167,0.38,0.235
1168,0.38,0.23
1169,0.38,0.23
1170,0.37,0.235
1171,0.38,0.235
1172,0.385,0.235
1173,0.38,0.23
1174,0.375,0.245
1175,0.38,0.235
1176,0.375,0.235
1177,0.375,0.225
1178,0.38,0.235
1179,0.385,0.245
1180,0.38,0.245
1181,0.38,0.23
1182,0.385,0.235
1183,0.38,0.235
1184,0.385,0.23
1185,0.38,0.225
1186,0.38,0.245
1187,0.385,0.235
1188,0.385,0.235
1189,0.38,0.24
1190,0.38,0.25
1191,0.375,0.235
1192,0.38,0.235
1193,0.385,0.235
1194,0.375,0.235
1195,0.385,0.235
1196,0.375,0.23
1197,0.38,0.235
1198,0.385,0.235
1199,0.385,0.24
1200,0.385,0.245
1201,0.38,0.23
1202,0.375,0.235
1203,0.38,0.235
1204,0.38,0.235
1205,0.38,0.235
1206,0.385,0.255
1207,0.38,0.235
1208,0.375,0.235
1209,0.38,0.235
1210,0.38,0.235
1211,0.375,0.235
1212,0.375,0.235
1213,0.38,0.25
1214,0.375,0.225
1215,0.375,0.225
1216,0.38,0.23
1217,0.39,0.235
1218,0.38,0.24
1219,0.38,0.24
1220,0.38,0.24
1221,0.38,0.255
1222,0.38,0.235
1223,0.38,0.235
1224,0.385,0.235
1225,0.375,0.235
1226,0.38,0.235
1227,0.38,0.23
1228,0.375,0.255
1229,0.38,0.235
1230,0.375,0.235
1231,0.38,0.23
1232,0.375,0.24
1233,0.38,0.23
1234,0.38,0.235
1235,0.375,0.235
1236,0.375,0.24
1237,0.375,0.235
1238,0.375,0.24
1239,0.38,0.235
1240,0.38,0.245
1241,0.38,0.235
1242,0.38,0.235
1243,0.385,0.245
1244,0.375,0.235
1245,0.385,0.235
1246,0.375,0.235
1247,0.38,0.24
1248,0.38,0.23
1249,0.38,0.24
1250,0.38,0.225
1251,0.375,0.255
1252,0.375,0.24
1253,0.38,0.235
1254,0.38,0.235
1255,0.38,0.235
1256,0.38,0.245
1257,0.38,0.24
1258,0.385,0.23
1259,0.385,0.235
1260,0.375,0.24
1261,0.38,0.23
1262,0.38,0.235
1263,0.39,0.24
1264,0.38,0.235
1265,0.38,0.24
1266,0.38,0.235
1267,0.38,0.235
1268,0.375,0.23
1269,0.375,0.235
1270,0.385,0.235
1271,0.38,0.24
1272,0.385,0.24
1273,0.38,0.235
1274,0.38,0.23
1275,0.38,0.24
1276,0.38,0.24
1277,0.375,0.23
1278,0.38,0.24
1279,0.38,0.24
1280,0.38,0.235
1281,0.375,0.24
1282,0.375,0.24
1283,0.385,0.24
1284,0.38,0.225
1285,0.38,0.235
1286,0.375,0.24
1287,0.385,0.235
1288,0.375,0.255
1289,0.38,0.235
1290,0.38,0.235
1291,0.385,0.235
1292,0.375,0.24
1293,0.375,0.235
1294,0.4,0.25
1295,0.38,0.24
1296,0.38,0.24
1297,0.375,0.225
1298,0.38,0.235
1299,0.38,0.24
1300,0.38,0.23
1301,0.375,0.235
1302,0.375,0.23
1303,0.37,0.235
1304,0.38,0.23
1305,0.38,0.23
1306,0.375,0.235
1307,0.375,0.235
1308,0.375,0.235
1309,0.375,0.23
1310,0.38,0.235
1311,0.38,0.24
1312,0.38,0.24
1313,0.38,0.23
1314,0.38,0.235
1315,0.38,0.24
1316,0.38,0.235
1317,0.375,0.235
1318,0.38,0.235
1319,0.38,0.23
1320,0.375,0.235
1321,0.38,0.235
1322,0.38,0.235
1323,0.375,0.235
1324,0.38,0.24
1325,0.385,0.23
1326,0.375,0.24
1327,0.375,0.235
1328,0.37,0.235
1329,0.38,0.24
1330,0.38,0.24
1331,0.375,0.235
1332,0.375,0.24
1333,0.375,0.235
1334,0.375,0.235
1335,0.38,0.235
1336,0.375,0.23
1337,0.375,0.23
1338,0.385,0.23
1339,0.38,0.23
1340,0.38,0.225
1341,0.38,0.23
1342,0.38,0.23
1343,0.375,0.245
1344,0.375,0.235
1345,0.375,0.235
1346,0.37,0.23
1347,0.375,0.235
1348,0.38,0.235
1349,0.375,0.235
1350,0.37,0.23
1351,0.38,0.23
1352,0.375,0.235
1353,0.38,0.235
1354,0.375,0.235
1355,0.375,0.235
1356,0.375,0.245
1357,0.38,0.235
1358,0.38,0.24
1359,0.38,0.23
1360,0.375,0.235
