,I01,I02,I04
549,0.31,0.235,0.24
550,0.3,0.245,0.235
551,0.305,0.24,0.25
552,0.3,0.235,0.235
553,0.3,0.25,0.255
554,0.305,0.24,0.255
555,0.305,0.235,0.25
556,0.3,0.235,0.235
557,0.3,0.235,0.255
558,0.3,0.24,0.25
559,0.3,0.265,0.255
560,0.305,0.225,0.25
561,0.3,0.235,0.24
562,0.3,0.24,0.255
563,0.3,0.245,0.255
564,0.3,0.235,0.24
565,0.3,0.235,0.24
566,0.3,0.235,0.25
567,0.3,0.245,0.245
568,0.305,0.235,0.245
569,0.305,0.24,0.245
570,0.305,0.245,0.255
571,0.3,0.235,0.245
572,0.3,0.23,0.245
573,0.3,0.235,0.23
574,0.3,0.245,0.235
575,0.3,0.235,0.245
576,0.305,0.25,0.25
577,0.305,0.245,0.245
578,0.3,0.25,0.245
579,0.3,0.235,0.245
580,0.305,0.25,0.245
581,0.3,0.235,0.24
582,0.3,0.24,0.245
583,0.3,0.235,0.25
584,0.3,0.24,0.225
585,0.3,0.24,0.245
586,0.3,0.24,0.26
587,0.3,0.23,0.24
588,0.3,0.26,0.235
589,0.305,0.255,0.25
590,0.3,0.245,0.25
591,0.31,0.24,0.245
592,0.3,0.24,0.24
593,0.3,0.255,0.24
594,0.31,0.25,0.24
595,0.305,0.255,0.26
596,0.305,0.255,0.255
597,0.305,0.235,0.24
598,0.3,0.24,0.25
599,0.31,0.265,0.225
600,0.3,0.245,0.235
601,0.3,0.245,0.255
602,0.3,0.235,0.255
603,0.3,0.235,0.255
604,0.3,0.265,0.235
605,0.3,0.24,0.25
606,0.305,0.25,0.245
607,0.3,0.24,0.235
608,0.3,0.25,0.245
609,0.305,0.25,0.24
610,0.3,0.25,0.255
611,0.3,0.24,0.24
612,0.3,0.24,0.25
613,0.3,0.24,0.24
614,0.3,0.24,0.25
615,0.3,0.235,0.255
616,0.3,0.245,0.245
617,0.3,0.23,0.24
618,0.3,0.24,0.245
619,0.31,0.245,0.24
620,0.3,0.25,0.255
621,0.325,0.235,0.235
622,0.3,0.25,0.25
623,0.3,0.25,0.24
624,0.3,0.235,0.265
625,0.3,0.24,0.25
626,0.3,0.23,0.24
627,0.305,0.235,0.255
628,0.3,0.245,0.255
629,0.3,0.255,0.245
630,0.3,0.255,0.245
631,0.3,0.26,0.245
632,0.305,0.245,0.235
633,0.3,0.235,0.245
634,0.3,0.235,0.255
635,0.3,0.245,0.245
636,0.3,0.245,0.245
637,0.305,0.235,0.275
638,0.305,0.235,0.26
639,0.3,0.245,0.25
640,0.3,0.25,0.245
641,0.305,0.235,0.245
642,0.3,0.25,0.245
643,0.3,0.24,0.22
644,0.3,0.225,0.25
645,0.305,0.235,0.24
646,0.3,0.23,0.24
647,0.3,0.235,0.26
648,0.3,0.235,0.25
649,0.3,0.25,0.25
650,0.31,0.24,0.24
651,0.3,0.225,0.23
652,0.305,0.23,0.24
653,0.3,0.24,0.24
654,0.3,0.25,0.23
655,0.305,0.245,0.245
656,0.3,0.245,0.235
657,0.305,0.235,0.24
658,0.305,0.245,0.275
659,0.3,0.245,0.235
660,0.305,0.25,0.26
661,0.3,0.235,0.24
662,0.3,0.235,0.24
663,0.305,0.24,0.25
664,0.3,0.25,0.245
665,0.3,0.235,0.24
666,0.3,0.225,0.25
667,0.305,0.25,0.245
668,0.305,0.245,0.24
669,0.305,0.245,0.24
670,0.3,0.24,0.235
671,0.305,0.23,0.245
672,0.3,0.26,0.245
673,0.305,0.255,0.24
674,0.3,0.245,0.24
675,0.3,0.235,0.24
676,0.305,0.24,0.25
677,0.3,0.23,0.24
678,0.3,0.225,0.25
679,0.3,0.25,0.245
680,0.3,0.245,0.26
681,0.305,0.23,0.24
682,0.295,0.25,0.24
683,0.3,0.24,0.25
684,0.3,0.24,0.24
685,0.305,0.23,0.255
686,0.3,0.24,0.24
687,0.3,0.23,0.245
688,0.3,0.235,0.245
689,0.3,0.245,0.245
690,0.3,0.24,0.22
691,0.3,0.24,0.235
692,0.3,0.25,0.25
693,0.305,0.245,0.26
694,0.305,0.245,0.25
695,0.3,0.235,0.245
696,0.3,0.23,0.25
697,0.3,0.235,0.245
698,0.3,0.27,0.24
699,0.3,0.23,0.24
700,0.3,0.25,0.25
701,0.3,0.265,0.25
702,0.3,0.235,0.245
703,0.3,0.24,0.25
704,0.3,0.245,0.24
705,0.305,0.25,0.24
706,0.3,0.26,0.24
707,0.3,0.24,0.23
708,0.31,0.235,0.245
709,0.31,0.245,0.255
710,0.3,0.24,0.24
711,0.3,0.25,0.245
712,0.305,0.235,0.255
713,0.3,0.24,0.235
714,0.31,0.265,0.25
715,0.3,0.24,0.23
716,0.3,0.24,0.235
717,0.3,0.235,0.24
718,0.3,0.25,0.23
719,0.305,0.235,0.245
720,0.3,0.235,0.24
721,0.3,0.24,0.24
722,0.3,0.24,0.24
723,0.3,0.235,0.255
724,0.3,0.24,0.24
725,0.3,0.235,0.25
726,0.3,0.235,0.245
727,0.3,0.245,0.24
728,0.305,0.285,0.25
729,0.3,0.235,0.245
730,0.3,0.26,0.235
731,0.305,0.24,0.24
732,0.3,0.235,0.25
