#,Ion,LET (entrance),DUTs,File,Distance (cm),Time (s),VDD (V),Fluence (cm^-2),Avg I (mA?),Peak I (mA?),A1 SEUs,A2 SEUs,A3 SEUs,,,C1 SEUs,C2 SEUs,C3 SEUs,Dose (rad),TID (krad),SEU XS (1),SEU XS (2)
105,Si,4.56,"G04,G02,F04,F02,F03",data/sram/seu/GF_Si_new.csv,3,60,1.5,2.69E+06,8.5,8.5,G04 & G02 stopped responding,,,1.6,1.6,G04 & G02 stopped responding,,,196.51,6.05,#DIV/0!,#DIV/0!
106,Si,4.56,"F04,F02,F03",data/sram/seu/GF_Si_newer.csv,3,60,1.5,2.73E+06,,,,,,1.6,1.6,25532,25444,21660,199.43,6.24,#DIV/0!,8.87E-03
107,Ar,7.27,"F04,F02,F03",data/sram/seu/GF_Ar.csv,3,60,0.6,3.68E+06,,,,,,0.9,0.9,131072*,17180,17140,428.59,6.67,#DIV/0!,4.66E-03
107,Ar,7.27,"F04,F02,F03",data/sram/seu/GF_Ar.csv,3,30,0.6,1.76E+06,,,,,,0.9,0.9,7368,8228,8352,204.98,6.88,#DIV/0!,4.54E-03
108,Ar,7.27,"F04,F02,F03",data/sram/seu/GF_Ar.csv,3,45,0.9,2.49E+06,,,,,,0.9,0.9,13564,13680,14488,290.00,7.17,#DIV/0!,5.59E-03
109,Ar,7.27,"F04,F02,F03",data/sram/seu/GF_Ar.csv,3,45,1.2,2.51E+06,,,,,,0.9,0.9,7828,8508,8276,292.33,7.46,#DIV/0!,3.27E-03
111,Ar,7.27,"F04,F02,F03",data/sram/seu/GF_Ar.csv,3,45,1.5,2.50E+06,,,,,,1.6,1.6,7340,8900,8108,291.16,7.75,#DIV/0!,3.25E-03
112,Cu,16.53,"F04,F02,F03",data/sram/seu/GF_Cu.csv,3,30,0.6,1.62E+06,,,,,,0.9,0.9,131091*,19548,19444,428.99,8.18,#DIV/0!,1.20E-02
113,Cu,16.53,"F04,F02,F03",data/sram/seu/GF_Cu.csv,3,30,0.6,7.45E+05,,,,,,0.9,0.9,Some DUTs stopped responding,,,197.28,8.38,#DIV/0!,#DIV/0!
113,Cu,16.53,"F04,F02,F03",data/sram/seu/GF_Cu.csv,3,20,0.6,4.88E+05,,,,,,0.9,0.9,5712,6376,6440,129.23,8.51,#DIV/0!,1.27E-02
113,Cu,16.53,"F04,F02,F03",data/sram/seu/GF_Cu.csv,3,30,0.9,7.44E+05,,,,,,0.9,0.9,"F04, F02, F03 stopped responding",,,197.02,8.70,#DIV/0!,#DIV/0!
,,,,,,,,,,,,,,,,,,,0.00,8.70,#DIV/0!,#DIV/0!
