,F01,F02,F03,F04
726,0.24,0.2,0.185,0.19
727,0.24,0.195,0.215,0.205
728,0.24,0.205,0.185,0.215
729,0.24,0.205,0.2,0.195
730,0.24,0.205,0.19,0.195
731,0.24,0.195,0.2,0.205
732,0.24,0.205,0.185,0.19
733,0.24,0.195,0.185,0.19
734,0.24,0.2,0.2,0.2
735,0.24,0.195,0.21,0.195
736,0.24,0.195,0.2,0.21
737,0.24,0.195,0.21,0.205
738,0.24,0.23,0.195,0.235
739,0.24,0.215,0.195,0.205
740,0.24,0.19,0.2,0.205
741,0.24,0.29,0.205,0.195
742,0.24,0.225,0.2,0.19
743,0.24,0.19,0.205,0.195
744,0.24,0.205,0.195,0.23
745,0.24,0.22,0.19,0.205
746,0.24,0.19,0.195,0.225
747,0.24,0.21,0.195,0.215
748,0.24,0.195,0.2,0.21
749,0.24,0.19,0.195,0.205
750,0.24,0.185,0.19,0.195
751,0.24,0.19,0.235,0.205
752,0.24,0.2,0.2,0.19
753,0.24,0.2,0.195,0.195
754,0.24,0.235,0.19,0.22
755,0.265,0.195,0.195,0.195
756,0.24,0.195,0.19,0.195
757,0.24,0.215,0.19,0.195
758,0.24,0.205,0.195,0.195
759,0.24,0.195,0.195,0.225
760,0.24,0.225,0.19,0.195
761,0.24,0.2,0.21,0.205
762,0.24,0.195,0.22,0.2
763,0.24,0.215,0.22,0.2
764,0.24,0.26,0.195,0.2
765,0.24,0.195,0.185,0.205
766,0.24,0.2,0.19,0.195
767,0.24,0.195,0.19,0.195
768,0.24,0.215,0.205,0.22
769,0.24,0.23,0.215,0.22
770,0.24,0.23,0.2,0.23
771,0.24,0.19,0.195,0.195
772,0.24,0.195,0.195,0.215
773,0.27,0.23,0.21,0.195
